trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,key_resp.started,fixation.stopped,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,tilt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
85,0,85,0,142.07682670000008,,142.06540700000005,142.07682670000008,143.07614710000007,143.07614710000007,143.6439871,down,1,0.5511519000001499,None,3,424866,001,2024-09-19_11h50.06.299,Orientation Discrimination task,2024.1.5,None,2024-09-19 11h50.13.730605 +0530,
86,0,86,0,143.65894270000013,,143.64754719999996,143.65894270000013,144.65819910000005,144.65819910000005,145.80879860000005,down,0,1.1447970000001533,None,0,424866,001,2024-09-19_11h50.06.299,Orientation Discrimination task,2024.1.5,None,2024-09-19 11h50.13.730605 +0530,
87,0,87,0,145.82381529999998,,145.81232410000007,145.82381529999998,146.8233616,146.8233616,147.4239708,down,1,0.5837841000000026,None,-4,424866,001,2024-09-19_11h50.06.299,Orientation Discrimination task,2024.1.5,None,2024-09-19 11h50.13.730605 +0530,
88,0,88,0,147.44004040000004,,147.4277294000001,147.44004040000004,148.43839930000013,148.45510690000015,148.95599089999996,down,0,0.5019565000000057,None,0,424866,001,2024-09-19_11h50.06.299,Orientation Discrimination task,2024.1.5,None,2024-09-19 11h50.13.730605 +0530,
89,0,89,0,148.97115480000002,,148.95961940000007,148.97115480000002,149.97039430000018,149.97039430000018,150.58844220000015,up,0,0.6132579000000078,None,1,424866,001,2024-09-19_11h50.06.299,Orientation Discrimination task,2024.1.5,None,2024-09-19 11h50.13.730605 +0530,
90,0,90,0,150.60317450000002,,150.59197919999997,150.60317450000002,151.6024457000001,151.6024457000001,152.00355290000016,up,0,0.3929277000002003,None,-4,424866,001,2024-09-19_11h50.06.299,Orientation Discrimination task,2024.1.5,None,2024-09-19 11h50.13.730605 +0530,
91,0,91,0,152.01870980000012,,152.00723630000016,152.01870980000012,153.01802500000008,153.01802500000008,153.61873620000006,up,1,0.5881918000000042,None,0,424866,001,2024-09-19_11h50.06.299,Orientation Discrimination task,2024.1.5,None,2024-09-19 11h50.13.730605 +0530,
92,0,92,0,153.6339680000001,,153.62223010000002,153.6339680000001,154.63363590000017,154.63363590000017,155.51818490000005,down,1,0.8695026000000325,None,-4,424866,001,2024-09-19_11h50.06.299,Orientation Discrimination task,2024.1.5,None,2024-09-19 11h50.13.730605 +0530,
93,0,93,0,155.5330312000001,,155.52193209999996,155.5330312000001,156.5326517000001,156.5326517000001,156.83355430000006,up,1,0.2906878000001143,None,0,424866,001,2024-09-19_11h50.06.299,Orientation Discrimination task,2024.1.5,None,2024-09-19 11h50.13.730605 +0530,
94,0,94,0,156.84908730000006,,156.8374119,156.84908730000006,157.84753010000009,157.8643548,158.41561580000007,up,0,0.5646423999999115,None,-3,424866,001,2024-09-19_11h50.06.299,Orientation Discrimination task,2024.1.5,None,2024-09-19 11h50.13.730605 +0530,
95,0,95,0,158.43074690000003,,158.41958910000017,158.43074690000003,159.42933779999998,159.4461748000001,159.91377660000012,up,1,0.4756434000000809,None,0,424866,001,2024-09-19_11h50.06.299,Orientation Discrimination task,2024.1.5,None,2024-09-19 11h50.13.730605 +0530,
96,0,96,0,159.92870260000018,,159.91729340000006,159.92870260000018,160.9281476000001,160.9281476000001,161.3964582000001,up,0,0.4569947999998476,None,-4,424866,001,2024-09-19_11h50.06.299,Orientation Discrimination task,2024.1.5,None,2024-09-19 11h50.13.730605 +0530,
97,0,97,0,161.41104830000018,,161.40082030000008,161.41104830000018,162.410482,162.410482,162.86121040000012,up,0,0.4382070999999996,None,-4,424866,001,2024-09-19_11h50.06.299,Orientation Discrimination task,2024.1.5,None,2024-09-19 11h50.13.730605 +0530,
98,0,98,0,162.87639560000002,,162.86473250000017,162.87639560000002,163.87569040000017,163.87569040000017,164.32693910000012,up,0,0.4493623999999272,None,3,424866,001,2024-09-19_11h50.06.299,Orientation Discrimination task,2024.1.5,None,2024-09-19 11h50.13.730605 +0530,
