trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,fixation.started,target.started,mouse.started,fixation.stopped,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
52,0,52,0,98.26695339999992,,98.23874729999989,5,98.26695339999992,98.26695339999992,0.017538000000058673,99.26838459999999,99.85273419999999,[0.25555555555555554],[0.4564814814814815],[1],[0],[0],[1.5970457000000806],['target'],1,001,2024-10-10_13h48.21.660,Visual search exp,2024.1.5,None,2024-10-10 13h48.37.556148 +0530,
53,0,53,0,99.88804379999988,,99.85706899999991,5,99.88804379999988,99.88804379999988,0.02046580000001086,100.88854149999997,101.50608209999996,[0.49166666666666664],[-0.06574074074074074],[1],[0],[0],[1.6291642999999567],[],1,001,2024-10-10_13h48.21.660,Visual search exp,2024.1.5,None,2024-10-10 13h48.37.556148 +0530,
54,0,54,0,101.54085259999988,,101.51042000000007,5,101.54085259999988,101.54085259999988,0.01782750000006672,102.54158409999991,102.85893759999999,[0.006481481481481481],[0.14351851851851852],[1],[0],[0],[1.3312945999998647],['target'],1,001,2024-10-10_13h48.21.660,Visual search exp,2024.1.5,None,2024-10-10 13h48.37.556148 +0530,
55,0,55,0,102.8931849999999,,102.86374640000008,5,102.8931849999999,102.8931849999999,0.018637899999930596,103.89468699999998,104.11281179999992,[-0.34074074074074073],[0.2564814814814815],[1],[0],[0],[1.2309421000002203],['target'],1,001,2024-10-10_13h48.21.660,Visual search exp,2024.1.5,None,2024-10-10 13h48.37.556148 +0530,
56,0,56,0,104.16988539999988,,104.11783990000004,10,104.16988539999988,104.16988539999988,0.03565739999999096,105.17156819999991,106.23652820000007,[-0.19166666666666668],[-0.21388888888888888],[1],[0],[0],[2.083562499999971],['target'],1,001,2024-10-10_13h48.21.660,Visual search exp,2024.1.5,None,2024-10-10 13h48.37.556148 +0530,
57,0,57,0,106.27273059999993,,106.24091270000008,5,106.27273059999993,106.27273059999993,0.021041299999978946,107.28766700000006,107.6226228999999,[0.03796296296296296],[0.03888888888888889],[1],[0],[0],[1.3611009999999624],['target'],1,001,2024-10-10_13h48.21.660,Visual search exp,2024.1.5,None,2024-10-10 13h48.37.556148 +0530,
58,0,58,0,107.65717470000004,,107.62762019999991,5,107.65717470000004,107.65717470000004,0.018362400000114576,108.65719549999994,108.69248149999999,[0.11018518518518519],[0.25092592592592594],[1],[0],[0],[1.0471046000000115],['target'],1,001,2024-10-10_13h48.21.660,Visual search exp,2024.1.5,None,2024-10-10 13h48.37.556148 +0530,
59,0,59,0,108.75193560000002,,108.69791199999986,10,108.75193560000002,108.75193560000002,0.03832400000010239,109.756664,110.16563410000003,[0.10925925925925926],[-0.06296296296296296],[1],[0],[0],[1.4299940000000788],['target'],1,001,2024-10-10_13h48.21.660,Visual search exp,2024.1.5,None,2024-10-10 13h48.37.556148 +0530,
60,0,60,0,110.22281599999997,,110.17143110000006,10,110.22281599999997,110.22281599999997,0.03652549999992516,111.23103040000001,111.32599039999991,[0.12962962962962962],[0.175],[1],[0],[0],[1.11863940000012],['target'],1,001,2024-10-10_13h48.21.660,Visual search exp,2024.1.5,None,2024-10-10 13h48.37.556148 +0530,
61,0,61,0,111.36093019999998,,111.33037769999987,5,111.36093019999998,111.36093019999998,0.019704999999930806,112.36087829999997,112.67876490000003,[0.24074074074074073],[-0.16111111111111112],[1],[0],[0],[1.329259699999966],['target'],1,001,2024-10-10_13h48.21.660,Visual search exp,2024.1.5,None,2024-10-10 13h48.37.556148 +0530,
62,0,62,0,112.73952499999996,,112.68356629999994,10,112.73952499999996,112.73952499999996,0.04067310000004909,113.74714689999996,114.76991840000005,[0.4685185185185185],[-0.15925925925925927],[1],[0],[0],[2.0462285999999494],['target'],1,001,2024-10-10_13h48.21.660,Visual search exp,2024.1.5,None,2024-10-10 13h48.37.556148 +0530,
63,0,63,0,114.80337340000005,,114.77481310000007,5,114.80337340000005,114.80337340000005,0.018194799999946554,115.80471820000002,116.18962499999998,[-0.175],[-0.14722222222222223],[1],[0],[0],[1.3972071999999116],[],1,001,2024-10-10_13h48.21.660,Visual search exp,2024.1.5,None,2024-10-10 13h48.37.556148 +0530,
64,0,64,0,116.24764529999993,,116.19444279999993,10,116.24764529999993,116.24764529999993,0.036081299999978,117.25401179999994,118.94676479999998,[0.3277777777777778],[0.3962962962962963],[1],[0],[0],[2.7167996999999104],['target'],1,001,2024-10-10_13h48.21.660,Visual search exp,2024.1.5,None,2024-10-10 13h48.37.556148 +0530,
