num_distr,mouse.time
10,[2.3338430000003427]
10,[2.4886619999997492]
5,[1.447533900000053]
10,[3.7505959999998595]
5,[2.079570699999749]
5,[1.945781700000225]
5,[1.528993800000535]
10,[3.0526880999996138]
5,[2.5269850000004226]
5,[1.2470610000000306]
10,[2.9674653000001854]
10,[1.7358224000008704]
5,[1.529389400000582]
5,[1.5465129999993223]
10,[2.2840188000000126]
10,[2.5237981999998738]
10,[2.3838839999998527]
10,[2.287776600000143]
5,[1.3567838000008123]
10,[2.09431240000049]
10,[2.708616599999914]
5,[2.0939853999998377]
5,[1.5636977000003753]
10,[3.480055799999718]
10,[1.3307301999993797]
10,[1.6115736000001561]
10,[2.853411299999607]
10,[2.3338547999992443]
10,[2.2144149999994625]
10,[0.10449069999958738]
10,[1.9502302000000782]
5,[1.8464475999999195]
10,[1.410117899999932]
5,[2.810232800000449]
5,[1.4960913999993863]
10,[3.286289399999987]
5,[1.7191505000000689]
10,[2.60008629999993]
10,[1.8183339000006526]
5,[2.4461848999999347]
10,[1.7540048999999271]
5,[1.639813900000263]
5,[2.7953087000005326]
5,[2.079985100000158]
10,[1.8744794999993246]
10,[2.3896152999996048]
5,[1.863027399999737]
5,[1.8787861999999222]
10,[1.8375701000004483]
10,[2.136622300000454]
10,[1.8214066000000457]
10,[1.940318500000103]
5,[1.8891539999995075]
5,[4.161486500000137]
5,[1.2460719000000609]
10,[2.1705170999994152]
5,[2.1440834999993967]
