participant 1,reward_today,future_reward,delay,key_resp.keys,k,,participant 2,reward_today,future_reward,delay,key_resp.keys,k,,participant 3,reward_today,future_reward,delay,key_resp.keys,k,,participant 4,reward_today,future_reward,delay,key_resp.keys,k,
,15,35,13,l,0.102564103,,,15,35,13,l,0.102564103,,,15,35,13,t,1.461538462,,,15,35,13,l,1.538461538,
,15,35,13,t,0.102564103,,,15,35,13,l,0.102564103,,,15,35,13,l,1.461538462,,,15,35,13,l,1.538461538,
,11,30,7,l,0.246753247,,,11,30,7,l,0.246753247,,,11,30,7,l,2.571428571,,,11,30,7,l,2.714285714,
,11,30,7,l,0.246753247,,,11,30,7,l,0.246753247,,,11,30,7,t,2.571428571,,,11,30,7,l,2.714285714,
,11,30,7,l,0.246753247,,,11,30,7,l,0.246753247,,,11,30,7,l,2.571428571,,,11,30,7,l,2.714285714,
,11,30,7,l,0.246753247,,,11,30,7,l,0.246753247,,,11,30,7,l,2.571428571,,,11,30,7,l,2.714285714,
,11,30,7,l,0.246753247,,,11,30,7,l,0.246753247,,,11,30,7,l,2.571428571,,,11,30,7,l,2.714285714,
,11,30,7,l,0.246753247,,,11,30,7,l,0.246753247,,,11,30,7,l,2.571428571,,,11,30,7,l,2.714285714,
,11,30,7,l,0.246753247,,,11,30,7,l,0.246753247,,,11,30,7,l,2.571428571,,,11,30,7,l,2.714285714,
,11,30,7,l,0.246753247,,,11,30,7,l,0.246753247,,,11,30,7,l,2.571428571,,,11,30,7,l,2.714285714,
,11,30,7,l,0.246753247,,,11,30,7,l,0.246753247,,,11,30,7,t,2.571428571,,,11,30,7,l,2.714285714,
,11,30,7,l,0.246753247,,,11,30,7,l,0.246753247,,,11,30,7,l,2.571428571,,,11,30,7,l,2.714285714,
,11,30,7,l,0.246753247,,,11,30,7,l,0.246753247,,,11,30,7,t,2.571428571,,,11,30,7,l,2.714285714,
,11,30,7,l,0.246753247,,,11,30,7,l,0.246753247,,,11,30,7,l,2.571428571,,,11,30,7,l,2.714285714,
,11,30,7,l,0.246753247,,,11,30,7,l,0.246753247,,,11,30,7,l,2.571428571,,,11,30,7,l,2.714285714,
,11,30,7,l,0.246753247,,,11,30,7,l,0.246753247,,,11,30,7,l,2.571428571,,,11,30,7,l,2.714285714,
,11,30,7,l,0.246753247,,,11,30,7,t,0.246753247,,,11,30,7,l,2.571428571,,,11,30,7,l,2.714285714,
