key_resp.corr,key_resp.rt,,,seqRT,ranRT,,,
0,0.4530605,,,,,,,
0,1.7621386,,,,,,,
0,1.9399037,,,,,,,
1,1.0534476,,,,,,,
0,2.0407929,,,,,,,
0,1.0991527,,,,,,,
0,1.03319,,,,,,,
1,2.3492448,,,,,,,
1,1.6413134,,,,,,,
0,0.821314,,,,,,,
